Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Population
North Macedonia,"345,067","9,591","335,261",215,"2,081,304"
Kenya,"342,155","5,684","336,032",439,"56,215,221"
Zambia,"333,746","4,019","329,690",37,"19,470,234"
Albania,"333,567","3,593","328,368","1,606","2,866,374"
Botswana,"327,061","2,793","323,747",521,"2,441,162"
Luxembourg,"297,757","1,133","288,991","7,633","642,371"
Montenegro,"284,176","2,790","281,045",341,"627,950"
Algeria,"271,149","6,881","182,600","81,668","45,350,148"
Nigeria,"266,381","3,155","259,759","3,467","216,746,934"
Brunei,"261,440",225,"243,601","17,614","445,431"
Zimbabwe,"259,356","5,622","253,061",673,"15,331,428"
Uzbekistan,"247,838","1,637","241,486","4,715","34,382,084"
Mozambique,"230,816","2,229","228,466",121,"33,089,461"
Martinique,"224,468","1,071",N/A,N/A,"374,087"
Laos,"217,237",758,N/A,N/A,"7,481,023"
Iceland,"207,504",229,N/A,N/A,"345,393"
Afghanistan,"206,743","7,843","184,337","14,563","40,754,388"
Kyrgyzstan,"206,543","2,991","196,406","7,146","6,728,271"
El Salvador,"201,785","4,230","179,410","18,145","6,550,389"
Guadeloupe,"197,918",995,N/A,N/A,"399,794"
Maldives,"185,651",311,"163,687","21,653","540,985"
Trinidad and Tobago,"185,528","4,268","181,075",185,"1,406,585"
Ghana,"171,023","1,461","169,553",9,"32,395,450"
Namibia,"169,946","4,080","165,826",40,"2,633,874"
Uganda,"169,810","3,630","100,431","65,749","48,432,863"
Jamaica,"152,517","3,399","99,392","49,726","2,985,094"
Cambodia,"138,302","3,056","135,130",116,"17,168,639"
Rwanda,"132,811","1,467","131,112",232,"13,600,464"
Cameroon,"123,993","1,965","118,616","3,412","27,911,548"
Malta,"116,000",809,"114,586",605,"444,033"
Barbados,"104,944",568,"102,435","1,941","288,023"
Angola,"104,808","1,925","102,538",345,"35,027,343"
French Guiana,"97,097",411,"11,254","85,432","314,169"
Channel Islands,"96,675",208,"95,722",745,"176,463"
DRC,"94,714","1,457","83,804","9,453","95,240,792"
Senegal,"88,887","1,968","86,887",32,"17,653,671"
Malawi,"88,220","2,685","85,065",470,"20,180,839"
Ivory Coast,"87,894",830,"87,058",6,"27,742,298"
Suriname,"81,581","1,393",N/A,N/A,"596,831"
New Caledonia,"78,244",314,"76,260","1,670","290,915"
French Polynesia,"77,557",649,N/A,N/A,"284,164"
Eswatini,"73,908","1,422","72,392",94,"1,184,817"
Guyana,"71,757","1,285","70,251",221,"794,045"
Belize,"69,376",688,"68,467",221,"412,190"
Fiji,"68,451",878,"66,524","1,049","909,466"
Madagascar,"67,621","1,414","65,840",367,"29,178,077"
Sudan,"63,660","4,992","58,136",532,"45,992,020"
Mauritania,"63,422",997,"62,422",3,"4,901,981"
Cabo Verde,"63,130",412,"62,629",89,"567,678"
Bhutan,"62,512",21,"61,564",927,"787,941"
Syria,"57,420","3,163","54,247",10,"19,364,809"
Burundi,"51,018",38,"50,638",342,"12,624,840"
Seychelles,"50,068",171,"49,606",291,"99,426"
Gabon,"48,973",306,"48,617",50,"2,331,533"
Andorra,"47,446",158,"46,952",336,"77,463"
Papua New Guinea,"46,427",668,"43,982","1,777","9,292,169"
Curaçao,"45,986",295,"44,720",971,"165,529"
Aruba,"43,693",236,"42,438","1,019","107,609"
Mayotte,"41,853",187,N/A,N/A,"286,259"
Mauritius,"41,272","1,036","39,522",714,"1,274,727"
Tanzania,"40,806",845,N/A,N/A,"63,298,550"
Togo,"39,337",290,"39,041",6,"8,680,837"
Guinea,"38,153",464,"37,218",471,"13,865,691"
Isle of Man,"38,008",116,N/A,N/A,"85,732"
Bahamas,"37,491",833,"36,366",292,"400,516"
Faeroe Islands,"34,658",28,N/A,N/A,"49,233"
Lesotho,"34,490",706,"25,980","7,804","2,175,699"
Haiti,"33,874",860,"32,915",99,"11,680,283"
Mali,"32,764",743,"31,943",78,"21,473,764"
Cayman Islands,"31,359",36,"8,553","22,770","67,277"
Saint Lucia,"29,550",404,"29,095",51,"185,113"
Benin,"27,980",163,"27,746",71,"12,784,726"
Somalia,"27,300","1,361","13,182","12,757","16,841,795"
Congo,"25,375",386,"24,006",983,"5,797,805"
Solomon Islands,"24,575",153,N/A,N/A,"721,159"
Timor-Leste,"23,364",138,"23,102",124,"1,369,429"
San Marino,"22,615",120,"22,266",229,"34,085"
Micronesia,"22,203",55,N/A,N/A,"117,489"
Burkina Faso,"21,631",387,"21,143",101,"22,102,838"
Liechtenstein,"21,124",88,"20,947",89,"38,387"
Gibraltar,"20,207",110,"16,579","3,518","33,704"
Grenada,"19,613",237,"19,358",18,"113,475"
Bermuda,"18,519",152,"18,343",24,"61,939"
Nicaragua,"18,491",225,"4,225","14,041","6,779,100"
South Sudan,"18,352",138,"18,115",99,"11,618,511"
Tajikistan,"17,786",125,"17,264",397,"9,957,464"
Equatorial Guinea,"17,184",183,"16,880",121,"1,496,662"
Tonga,"16,182",12,"15,638",532,"107,749"
Samoa,"15,967",29,"1,605","14,333","202,239"
Monaco,"15,784",63,"15,605",116,"39,783"
Dominica,"15,760",74,"15,673",13,"72,344"
Djibouti,"15,690",189,"15,427",74,"1,016,097"
Marshall Islands,"15,547",17,"15,390",140,"60,057"
CAR,"15,311",113,"14,615",583,"5,016,678"
Gambia,"12,586",372,"12,189",25,"2,558,482"
Saint Martin,"12,058",63,"1,399","10,596","39,730"
Greenland,"11,971",21,"2,761","9,189","56,973"
Vanuatu,"11,952",14,"11,937",1,"321,832"
Yemen,"11,945","2,159","9,124",662,"31,154,867"
Caribbean Netherlands,"11,474",36,"10,476",962,"26,647"
Sint Maarten,"10,964",89,"10,873",2,"43,966"
Eritrea,"10,189",103,"10,086",0,"3,662,244"
Niger,"9,931",312,"8,890",729,"26,083,660"
St. Vincent Grenadines,"9,500",116,"9,361",23,"111,551"
Antigua and Barbuda,"9,106",146,"8,954",6,"99,509"
Comoros,"8,977",161,"8,799",17,"907,419"
Guinea-Bissau,"8,848",176,"8,642",30,"2,063,367"
Liberia,"8,037",294,"7,720",23,"5,305,117"
Sierra Leone,"7,760",126,N/A,N/A,"8,306,436"
Chad,"7,648",194,"4,874","2,580","17,413,580"
British Virgin Islands,"7,305",64,N/A,N/A,"30,596"
Saint Kitts and Nevis,"6,552",46,"6,482",24,"53,871"
Turks and Caicos,"6,446",36,"6,392",18,"39,741"
Cook Islands,"6,389",1,"6,384",4,"17,571"
Sao Tome and Principe,"6,279",77,"6,202",0,"227,679"
Palau,"5,933",9,"5,747",177,"18,233"
St. Barth,"5,348",6,N/A,N/A,"9,945"
Nauru,"4,621",1,"4,609",11,"10,903"
Anguilla,"3,904",12,"3,879",13,"15,230"
Kiribati,"3,430",13,"2,703",714,"123,419"
Saint Pierre Miquelon,"3,306",2,"2,449",855,"5,759"
Tuvalu,"2,805",,,"2,805","12,066"
Falkland Islands,"1,930",,"1,930",0,"3,539"
Saint Helena,"1,806",,2,"1,804","6,115"
Montserrat,"1,403",8,"1,376",19,"4,965"
Macao,"1,040",6,801,233,"667,490"
Wallis and Futuna,761,7,438,316,"10,982"
Diamond Princess,712,13,699,0,
Niue,191,,152,39,"1,622"
Vatican City,29,,29,0,799
Western Sahara,10,1,9,0,"626,161"
MS Zaandam,9,2,7,0,
Total:,"654,572,016","6,660,911","629,755,648","18,155,457",
